F;SVC(linear,C=1);;SVC(rbf,C=1);;RF;;XGB;;KNN(N=5);;$CG_{32,16}^{100}$;;$CG_{128,16}^{100}$;
4;0.931;0.0037;0.912;0.00825;0.934;0.00411;0.926;0.0037;0.903;0.00508;0.905;0.0058;0.863;0.00704
8;0.93;0.0036;0.918;0.00654;0.936;0.00372;0.926;0.00419;0.914;0.00388;0.921;0.00489;0.883;0.0053
12;0.922;0.00471;0.897;0.00777;0.93;0.00354;0.925;0.00308;0.911;0.00428;0.924;0.00342;0.89;0.00393
16;0.911;0.00314;0.866;0.00679;0.919;0.0032;0.917;0.00388;0.903;0.003;0.923;0.00329;0.887;0.00485
20;0.897;0.00588;0.837;0.0118;0.906;0.00359;0.906;0.00413;0.895;0.00427;0.909;0.00358;0.872;0.00489
24;0.896;0.00526;0.83;0.0118;0.899;0.00379;0.9;0.00428;0.893;0.00436;0.905;0.003;0.872;0.00446
28;0.877;0.00637;0.795;0.0144;0.888;0.00352;0.894;0.00328;0.89;0.00375;0.904;0.00258;0.87;0.00347
32;0.876;0.0066;0.764;0.0144;0.881;0.0041;0.886;0.00403;0.883;0.00413;0.893;0.00379;0.858;0.00316
36;0.859;0.00632;0.714;0.0173;0.866;0.00415;0.872;0.00333;0.873;0.00342;0.886;0.00305;0.848;0.00383
40;0.857;0.00445;0.682;0.0122;0.858;0.00274;0.867;0.00238;0.875;0.00326;0.885;0.00318;0.847;0.00309
44;0.856;0.00834;0.696;0.0138;0.855;0.00545;0.863;0.00582;0.873;0.00527;0.877;0.00502;0.845;0.0051
48;0.844;0.00696;0.637;0.0182;0.846;0.00481;0.856;0.00461;0.865;0.00431;0.865;0.00414;0.834;0.00385
52;0.833;0.00643;0.601;0.014;0.839;0.00274;0.847;0.00247;0.864;0.00248;0.867;0.00263;0.825;0.00324
56;0.835;0.00668;0.576;0.0184;0.831;0.00386;0.844;0.00417;0.86;0.00323;0.857;0.00341;0.822;0.00458
60;0.812;0.00566;0.543;0.0185;0.816;0.00359;0.828;0.00419;0.847;0.00369;0.846;0.0036;0.811;0.00454
64;0.806;0.00501;0.56;0.0143;0.807;0.00328;0.821;0.0037;0.845;0.00374;0.844;0.00351;0.808;0.00463
68;0.798;0.0045;0.485;0.0198;0.803;0.00308;0.816;0.00335;0.843;0.00208;0.839;0.00264;0.803;0.00354
72;0.787;0.00768;0.477;0.0209;0.796;0.00294;0.81;0.00342;0.837;0.0027;0.834;0.00335;0.796;0.00466
76;0.773;0.00582;0.448;0.0175;0.78;0.00403;0.794;0.00436;0.83;0.00364;0.821;0.00406;0.784;0.00483
80;0.778;0.00901;0.465;0.0232;0.782;0.00317;0.797;0.00359;0.828;0.00294;0.82;0.00371;0.781;0.00368
84;0.764;0.0085;0.4;0.0189;0.781;0.00379;0.799;0.00381;0.836;0.00344;0.826;0.00357;0.787;0.00435
88;0.762;0.00528;0.416;0.0145;0.767;0.00257;0.786;0.0028;0.822;0.00298;0.813;0.00284;0.779;0.00332
92;0.747;0.00715;0.356;0.0175;0.758;0.00424;0.784;0.00402;0.826;0.00403;0.809;0.0046;0.777;0.00425
96;0.757;0.00809;0.352;0.0157;0.761;0.0044;0.779;0.0043;0.825;0.00426;0.805;0.00361;0.768;0.00417
100;0.734;0.00704;0.332;0.0146;0.755;0.00364;0.774;0.00355;0.817;0.00389;0.801;0.00424;0.77;0.00452
104;0.73;0.00899;0.348;0.0168;0.746;0.00378;0.774;0.00439;0.816;0.00417;0.793;0.00468;0.762;0.0047
108;0.736;0.0083;0.346;0.0133;0.744;0.00394;0.766;0.00449;0.809;0.00398;0.795;0.00446;0.759;0.00561
112;0.724;0.00972;0.316;0.0109;0.74;0.00435;0.761;0.00499;0.81;0.00396;0.792;0.00413;0.756;0.00406
116;0.711;0.0058;0.313;0.0123;0.731;0.00308;0.756;0.00342;0.805;0.00275;0.787;0.00351;0.755;0.00494
120;0.704;0.00759;0.329;0.0151;0.725;0.00309;0.75;0.00329;0.799;0.00349;0.777;0.00327;0.748;0.00373
124;0.685;0.0102;0.302;0.0136;0.712;0.0034;0.742;0.00364;0.796;0.00352;0.771;0.0028;0.742;0.00383
