N;SVC(linear,C=1);;SVC(rbf,C=1);;RF;;XGB;;KNN(N=5);;$CG_{32,16}^{100}$;;$CG_{128,16}^{100}$;
20;0.12;0.00225;0.116;0.00275;0.79;0.00362;0.848;0.0042;0.883;0.00267;0.852;0.00346;0.852;0.00361
30;0.268;0.0198;0.0896;0.00307;0.833;0.00446;0.88;0.00391;0.907;0.00318;0.881;0.00318;0.88;0.00218
40;0.521;0.0227;0.0757;0.0051;0.869;0.00451;0.907;0.00345;0.926;0.00347;0.911;0.00354;0.905;0.00388
50;0.712;0.0149;0.0922;0.0112;0.899;0.00317;0.932;0.0023;0.952;0.00235;0.936;0.0033;0.926;0.00291
60;0.814;0.0181;0.213;0.0136;0.91;0.003;0.943;0.0021;0.956;0.00237;0.943;0.00227;0.926;0.00356
70;0.881;0.014;0.395;0.0267;0.919;0.00287;0.948;0.00202;0.96;0.00212;0.948;0.00233;0.933;0.00309
80;0.94;0.00781;0.578;0.0186;0.941;0.00154;0.964;0.00155;0.974;0.00109;0.962;0.00141;0.948;0.00241
90;0.979;0.00393;0.711;0.0166;0.947;0.00235;0.971;0.00199;0.98;0.00175;0.966;0.00213;0.954;0.00271
100;0.969;0.007;0.825;0.00972;0.949;0.00214;0.972;0.00135;0.98;0.00126;0.968;0.00156;0.959;0.00206
110;0.986;0.00255;0.885;0.0106;0.958;0.00174;0.979;0.000925;0.985;0.00106;0.971;0.00129;0.959;0.00208
120;0.988;0.00213;0.93;0.00844;0.96;0.00193;0.981;0.00114;0.986;0.0011;0.973;0.00105;0.963;0.00172
130;0.991;0.00265;0.977;0.00482;0.969;0.00147;0.987;0.000806;0.99;0.000662;0.974;0.00108;0.967;0.00209
140;0.995;0.000547;0.987;0.00387;0.973;0.00167;0.989;0.000785;0.992;0.000596;0.974;0.00135;0.971;0.00241
150;0.997;0.000313;0.996;0.00044;0.978;0.00127;0.992;0.000507;0.994;0.000417;0.976;0.000829;0.975;0.00163
160;0.996;0.000391;0.99;0.00346;0.977;0.00114;0.991;0.000699;0.993;0.000597;0.974;0.00103;0.974;0.00118
170;0.996;0.000441;0.996;0.000597;0.979;0.00139;0.993;0.000599;0.994;0.000503;0.977;0.000951;0.977;0.00122
180;0.998;0.00019;0.998;0.000201;0.982;0.00102;0.994;0.00042;0.996;0.000362;0.979;0.000995;0.978;0.00114
190;0.998;0.00029;0.998;0.000233;0.983;0.00105;0.995;0.000437;0.996;0.000473;0.975;0.00098;0.978;0.00174
200;0.998;0.000154;0.999;0.00015;0.985;0.000675;0.995;0.000394;0.996;0.000316;0.977;0.00111;0.98;0.00108
210;0.999;0.000119;0.999;0.000102;0.987;0.000688;0.996;0.000241;0.997;0.000254;0.978;0.001;0.981;0.000903
220;0.999;0.000127;0.999;0.000107;0.988;0.000594;0.997;0.000271;0.997;0.000264;0.978;0.00101;0.983;0.000857
230;0.999;9.85e-05;0.999;0.000105;0.988;0.00087;0.997;0.000255;0.997;0.000307;0.979;0.00101;0.982;0.000907
240;0.999;0.000112;0.999;8.61e-05;0.99;0.000651;0.997;0.000214;0.998;0.000239;0.98;0.000992;0.984;0.001
250;0.999;0.000152;0.999;0.000129;0.99;0.000761;0.997;0.000218;0.998;0.000287;0.979;0.00086;0.984;0.000936
260;0.999;0.000134;0.999;0.000108;0.991;0.000475;0.998;0.000216;0.998;0.000147;0.981;0.00119;0.983;0.00103
270;0.999;8.99e-05;0.999;7.23e-05;0.991;0.000611;0.998;0.000218;0.998;0.000243;0.98;0.00113;0.984;0.000977
280;0.999;9.68e-05;0.999;7.06e-05;0.991;0.000613;0.998;0.000169;0.998;0.000212;0.979;0.000984;0.986;0.000553
290;0.999;8.21e-05;1;8.51e-05;0.992;0.000496;0.999;0.000116;0.999;0.000175;0.982;0.0011;0.988;0.000673
300;0.999;9.44e-05;1;7.62e-05;0.993;0.000449;0.998;0.000151;0.999;0.000205;0.98;0.000802;0.986;0.00103
310;0.999;8.52e-05;1;5.46e-05;0.992;0.000558;0.999;0.00013;0.999;0.000145;0.979;0.00127;0.986;0.000708
320;1;4.05e-05;1;3.56e-05;0.994;0.000438;0.999;9.87e-05;0.999;0.000131;0.98;0.00113;0.987;0.000634
330;0.999;5.77e-05;1;4.47e-05;0.993;0.000503;0.998;0.000166;0.999;0.000129;0.979;0.00112;0.986;0.00108
340;1;5.46e-05;1;2.7e-05;0.993;0.000451;0.999;0.000113;0.999;0.000228;0.981;0.000993;0.987;0.000884
350;1;7.16e-05;1;5.86e-05;0.994;0.000471;0.999;0.000141;0.999;9.29e-05;0.98;0.000985;0.986;0.000699
360;1;5.31e-05;1;3.92e-05;0.995;0.000404;0.999;0.000115;0.999;8.87e-05;0.981;0.000885;0.989;0.000617
370;1;5.51e-05;1;3.24e-05;0.994;0.000428;0.999;0.000102;0.999;0.000132;0.98;0.000859;0.987;0.000771
380;1;3.47e-05;1;3.05e-05;0.995;0.000318;0.999;0.000105;0.999;9.59e-05;0.98;0.000932;0.989;0.000723
390;1;3.87e-05;1;2.88e-05;0.995;0.000474;0.999;8.11e-05;0.999;7.94e-05;0.981;0.00102;0.988;0.000851
400;1;4.06e-05;1;3.31e-05;0.996;0.000338;0.999;8.39e-05;0.999;0.000109;0.98;0.00122;0.99;0.000508
