Sigma;LSVC;;SVC;;RF;;XGB;;KNN;;$CG_{32,16}^{100,0.2}$;;$CG_{128,16}^{100,0.2}$;;$CG_{128,16}^{100,0.1}$;;$CG_{128,16}^{100,0.4}$;
0.05;0.991;0.00499;0.991;0.005;1;0;1;0;1;0;1;0;1;0;1;0;0.995;0.000648
0.1;0.994;0.00419;0.986;0.00544;1;5.9e-05;1;2.89e-06;1;2.59e-07;1;1.21e-05;1;0.000209;0.998;0.000432;0.989;0.000991
0.15;0.993;0.00414;0.936;0.0082;0.992;0.000529;0.998;0.000232;0.999;0.0002;0.995;0.000381;0.994;0.000902;0.991;0.0015;0.961;0.00201
0.2;0.98;0.00409;0.84;0.0128;0.953;0.00274;0.976;0.00134;0.983;0.00167;0.969;0.00166;0.966;0.00151;0.966;0.0018;0.904;0.00324
0.25;0.935;0.00443;0.609;0.02;0.888;0.0029;0.923;0.00221;0.937;0.00201;0.92;0.00299;0.911;0.00254;0.913;0.00346;0.838;0.00397
0.3;0.854;0.00675;0.454;0.0231;0.822;0.00326;0.863;0.00392;0.89;0.00351;0.872;0.00315;0.855;0.00437;0.858;0.00391;0.789;0.0042
0.35;0.764;0.00627;0.365;0.0204;0.76;0.00397;0.792;0.00375;0.832;0.00337;0.808;0.004;0.786;0.00384;0.785;0.00417;0.738;0.00429
0.4;0.699;0.00962;0.282;0.0104;0.724;0.00429;0.753;0.00445;0.805;0.00362;0.773;0.00356;0.752;0.00377;0.753;0.0045;0.7;0.00334
0.45;0.65;0.00881;0.296;0.00659;0.683;0.00358;0.705;0.00408;0.769;0.0032;0.742;0.00381;0.714;0.00365;0.719;0.00504;0.669;0.00478
0.5;0.596;0.013;0.304;0.00642;0.661;0.00347;0.672;0.00435;0.748;0.00385;0.722;0.00369;0.684;0.00469;0.693;0.00454;0.651;0.00511
0.55;0.565;0.011;0.319;0.00501;0.641;0.00323;0.65;0.00327;0.733;0.0034;0.701;0.00359;0.665;0.00448;0.676;0.00394;0.639;0.00436
0.6;0.525;0.00758;0.341;0.00511;0.624;0.00431;0.629;0.00462;0.715;0.00319;0.679;0.00427;0.643;0.00418;0.651;0.0041;0.62;0.00426
0.65;0.513;0.00636;0.357;0.00359;0.613;0.00383;0.613;0.00389;0.707;0.00401;0.669;0.00388;0.627;0.00348;0.633;0.00355;0.615;0.0031
0.7;0.505;0.00861;0.363;0.00394;0.61;0.00411;0.6;0.00451;0.697;0.00353;0.661;0.00404;0.625;0.00331;0.629;0.004;0.605;0.0051
0.75;0.485;0.00666;0.373;0.00295;0.593;0.00324;0.588;0.00322;0.69;0.00291;0.655;0.00329;0.617;0.00392;0.622;0.00243;0.598;0.00564
0.8;0.488;0.00759;0.385;0.00293;0.584;0.00296;0.581;0.00358;0.682;0.00415;0.641;0.00324;0.608;0.00429;0.611;0.00368;0.589;0.00405
0.85;0.491;0.00647;0.396;0.0037;0.574;0.0043;0.567;0.00394;0.672;0.00341;0.635;0.00442;0.59;0.00398;0.599;0.00344;0.58;0.00344
0.9;0.481;0.00482;0.4;0.00376;0.573;0.00373;0.564;0.00342;0.671;0.00383;0.627;0.00513;0.589;0.00439;0.595;0.00534;0.577;0.00434
0.95;0.48;0.0034;0.41;0.00453;0.568;0.00458;0.552;0.00365;0.668;0.00384;0.624;0.00373;0.584;0.00375;0.588;0.00393;0.573;0.00318
1;0.479;0.00447;0.413;0.0037;0.569;0.00349;0.548;0.00352;0.666;0.00381;0.62;0.00397;0.581;0.00443;0.587;0.00409;0.57;0.00321
1.05;0.476;0.00518;0.419;0.00337;0.556;0.00385;0.549;0.00388;0.659;0.00313;0.616;0.00368;0.579;0.00353;0.584;0.00399;0.572;0.00313
1.1;0.49;0.00558;0.419;0.00412;0.562;0.00398;0.546;0.00418;0.661;0.00381;0.614;0.00398;0.574;0.00445;0.579;0.00434;0.567;0.00395
1.15;0.48;0.00439;0.421;0.00489;0.555;0.00384;0.544;0.00475;0.66;0.00393;0.615;0.0044;0.574;0.00386;0.58;0.00373;0.561;0.00343
1.2;0.484;0.00484;0.42;0.00426;0.558;0.00366;0.547;0.00421;0.66;0.00386;0.616;0.00363;0.577;0.00485;0.583;0.00412;0.566;0.00408
1.25;0.483;0.00514;0.434;0.00475;0.552;0.00395;0.534;0.00425;0.653;0.00469;0.603;0.00476;0.563;0.00341;0.568;0.00403;0.553;0.00481
1.3;0.479;0.00438;0.432;0.00369;0.549;0.00402;0.537;0.00337;0.649;0.00431;0.605;0.00487;0.565;0.00429;0.569;0.00355;0.556;0.00386
1.35;0.487;0.00345;0.434;0.00315;0.55;0.00344;0.53;0.00337;0.653;0.00286;0.602;0.00311;0.564;0.00267;0.572;0.00311;0.561;0.00309
1.4;0.486;0.00486;0.434;0.00317;0.556;0.00323;0.532;0.00365;0.648;0.00361;0.609;0.00418;0.566;0.004;0.57;0.00415;0.562;0.00381
1.45;0.482;0.00318;0.429;0.00342;0.554;0.00338;0.534;0.00337;0.653;0.00248;0.608;0.00303;0.564;0.0036;0.573;0.00384;0.557;0.00458
